"Dietary Restriction, Gender, Age",Min Calories,Max Calories,Min Protein (g),Max Protein (g),Min Carbs (g),Max Carbs (g),Min Fat (g),Max Fat (g),Min Alcohol (g),Max Alcohol (g),Min Caffeine (mg),Max Caffeine (mg),Min Copper (mg),Max Copper (mg),Min Calcium (g),Max Calcium (g),Min Chloride (mg),Max Chloride (mg),Min Cholesterol (mg),Max Cholesterol (mg),Min Fluoride (mg),Max Fluoride (mg),Min Saturated Fat (g),Max Saturated Fat (g),Min VitaminA (IU),Max VitaminA (IU),Min Vitamin C (mg),Max Vitamin C (mg),Min Vitamin D (μg),Max Vitamin D (μg),Min Vitamin E (mg),Max Vitamin E (mg),Min Vitamin K (μg),Max Vitamin K (μg),Min Vitamin B1 (mg),Max Vitamin B1 (mg),Min Vitamin B2 (mg),Max Vitamin B2 (mg),Min Vitamin B5 (mg),Max Vitamin B5 (mg),Min Vitamin B3 (mg),Max Vitamin B3 (mg),Min Vitamin B6 (mg),Max Vitamin B6 (mg),Min Vitamin B12 (μg),Max Vitamin B12 (μg),Min Fiber (g),Max Fiber (g),Min Folate (g),Max Folate (g),Min Folic Acid (g),Max Folic Acid (g),Min Iodine (g),Max Iodine (g),Min Iron (mg),Max Iron (mg),Min Magnesium (mg),Max Magnesium (mg),Min Manganese (mg),Max Manganese (mg),Min Phosphorus (mg),Max Phosphorus (mg),Min Potassium (mg),Max Potassium (mg),Min Selenium (g),Max Selenium (g),Min Sodium (mg),Max Sodium (mg),Min Sugar (g),Max Sugar (g),Min Zinc (mg),Max Zinc (mg)
"CVD,Male,19,30",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,400,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"CVD,Male,31,50",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"CVD,Male,51,70",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1,,2000,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1300,2300,,,11,
"CVD,Male,70,",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,4,,,0.1,,,90,,20,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1200,2300,,,11,
"CVD,Female,19,30",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,310,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"CVD,Female,31,50",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,320,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"CVD,Female,51,70",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1.2,,2000,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1300,2300,,,8,
"CVD,Female,70,",25,30,0.8,1,0.45,0.6,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,3,,,0.1,,,75,,20,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1200,2300,,,8,
"Diabetes,Male,19,30",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.06,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,400,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"Diabetes,Male,31,50",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.06,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"Diabetes,Male,51,70",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2000,,,200,4,,,0.06,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1300,2300,,,11,
"Diabetes,Male,70,",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,4,,,0.06,,,90,,20,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1200,2300,,,11,
"Diabetes,Female,19,30",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.06,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,310,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"Diabetes,Female,31,50",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.06,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,320,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"Diabetes,Female,51,70",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,2000,,,200,3,,,0.06,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1300,2300,,,8,
"Diabetes,Female,70,",25,30,1,1.5,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,3,,,0.06,,,75,,20,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1200,2300,,,8,
"Hypertension,Male,19,30",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,400,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"Hypertension,Male,31,50",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"Hypertension,Male,51,70",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2000,,,200,4,,,0.1,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1300,2300,,,11,
"Hypertension,Male,70,",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,4,,,0.1,,,90,,20,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1200,2300,,,11,
"Hypertension,Female,19,30",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,310,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"Hypertension,Female,31,50",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1,,2300,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,320,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"Hypertension,Female,51,70",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,2000,,,200,3,,,0.1,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1300,2300,,,8,
"Hypertension,Female,70,",25,30,0.8,1,0.45,0.65,0.2,0.35,,0,,,0.9,,1.2,,1800,,,200,3,,,0.1,,,75,,20,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1200,2300,,,8,
"CKD Stage 5 w/ RRT,Male,19,30",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2300,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,400,,2.3,,2000,4000,800,1000,0.000055,,2000,3000,,,11,
"CKD Stage 5 w/ RRT,Male,31,50",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2300,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,420,,2.3,,2000,4000,800,1000,0.000055,,2000,3000,,,11,
"CKD Stage 5 w/ RRT,Male,51,70",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2000,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,2000,4000,800,1000,0.000055,,2000,3000,,,11,
"CKD Stage 5 w/ RRT,Male,70,",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,1800,,,,4,,,0.07,,,90,,20,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,2000,4000,800,1000,0.000055,,2000,3000,,,11,
"CKD Stage 5 w/ RRT,Female,19,30",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2300,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,310,,1.8,,2000,4000,800,1000,0.000055,,2000,3000,,,8,
"CKD Stage 5 w/ RRT,Female,31,50",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2300,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,320,,1.8,,2000,4000,800,1000,0.000055,,2000,3000,,,8,
"CKD Stage 5 w/ RRT,Female,51,70",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,2000,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,2000,4000,800,1000,0.000055,,2000,3000,,,8,
"CKD Stage 5 w/ RRT,Female,70,",25,30,1.1,1.5,0.45,0.65,0.2,0.3,,0,,,0.9,,2,,1800,,,,3,,,0.07,,,75,,20,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,2000,4000,800,1000,0.000055,,2000,3000,,,8,
"CKD Stage 3-5 w/o RRT,Male,19,30",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1,,2300,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,400,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"CKD Stage 3-5 w/o RRT,Male,31,50",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1,,2300,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.3,,2.4,,38,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1500,2300,,,11,
"CKD Stage 3-5 w/o RRT,Male,51,70",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1,,2000,,,,4,,,0.07,,,90,,15,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1300,2300,,,11,
"CKD Stage 3-5 w/o RRT,Male,70,",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1.2,,1800,,,,4,,,0.07,,,90,,20,,15,,120,,1.2,,1.3,,5,,16,,1.7,,2.4,,30,,0.0004,,,,0.00015,,8,,420,,2.3,,700,,4700,,0.000055,,1200,2300,,,11,
"CKD Stage 3-5 w/o RRT,Female,19,30",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1,,2300,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,310,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"CKD Stage 3-5 w/o RRT,Female,31,50",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1,,2300,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.3,,2.4,,25,,0.0004,,,,0.00015,,18,,320,,1.8,,700,,4700,,0.000055,,1500,2300,,,8,
"CKD Stage 3-5 w/o RRT,Female,51,70",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1.2,,2000,,,,3,,,0.07,,,75,,15,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1300,2300,,,8,
"CKD Stage 3-5 w/o RRT,Female,70,",25,35,0.6,0.8,0.45,0.65,0.2,0.3,,0,,,0.9,,1.2,,1800,,,,3,,,0.07,,,75,,20,,15,,90,,1.1,,1.1,,5,,14,,1.5,,2.4,,21,,0.0004,,,,0.00015,,8,,320,,1.8,,700,,4700,,0.000055,,1200,2300,,,8,